Repository: testing_graphxx
Operation: SELECT

Rows returned: 6

Result 1
  s: <http://www.example.org#Anna>
  p: <http://www.example.org#knows>
  o: <http://www.example.org#John>

Result 2
  s: <http://www.example.org#Anna>
  p: <http://www.example.org#worksFor>
  o: <http://www.example.org#RexCorp>

Result 3
  s: <http://www.example.org#RexCorp>
  p: <http://www.example.org#locatedIn>
  o: _:genid-d439606bf16f4b54809879f6bcda785b2718-node1

Result 4
  s: _:genid-d439606bf16f4b54809879f6bcda785b2718-node1
  p: <http://www.example.org#city>
  o: <http://www.example.org#LosAngeles>

Result 5
  s: _:genid-d439606bf16f4b54809879f6bcda785b2718-node1
  p: <http://www.example.org#address>
  o: "Martin Luther King Street"

Result 6
  s: <http://www.example.org#RobertMann>
  p: <http://www.example.org#owns>
  o: <http://www.example.org#RexCorp>
